T(sec)	Sa(cm/s2)
6.56	7.4802
6.57	9.0821
6.58	12.8599
6.59	20.1095
6.6	28.4653
6.61	34.3428
6.62	36.2478
6.63	34.9947
6.64	31.5371
6.65	26.2935
6.66	20.5145
6.67	16.0257
6.68	12.4142
6.69	6.4325
6.7	-3.5008
6.71	-13.1699
6.72	-15.6831
6.73	-9.0614
6.74	1.4424
6.75	9.1816
6.76	12.1631
6.77	12.378
6.78	11.6529
6.79	10.5618
6.8	9.9874
6.81	10.7688
6.82	11.9327
6.83	11.9057
6.84	11.8758
6.85	15.1848
6.86	21.8524
6.87	25.878
6.88	20.5308
6.89	5.7316
6.9	-11.7444
6.91	-25.0692
6.92	-32.5479
6.93	-36.2558
6.94	-37.8569
6.95	-36.8418
6.96	-31.6114
6.97	-21.3112
6.98	-7.3808
6.99	6.2043
7	15.3845
7.01	19.5009
7.02	21.2636
7.03	22.4752
7.04	21.3044
7.05	15.3922
7.06	6.4409
7.07	-0.6116
7.08	-2.801
7.09	-1.5724
7.1	-0.0037
7.11	0.4161
7.12	-0.1223
7.13	-0.854
7.14	-0.6375
7.15	1.4737
7.16	4.7631
7.17	7.0529
7.18	7.3786
7.19	7.5302
7.2	9.9614
7.21	14.926
7.22	20.4493
7.23	24.1992
7.24	24.4884
7.25	20.5203
7.26	13.1243
7.27	4.8508
7.28	-1.9139
7.29	-6.9023
7.3	-11.4027
7.31	-16.1405
7.32	-20.4054
7.33	-22.813
7.34	-22.2758
7.35	-18.8714
7.36	-14.5586
7.37	-12.2251
7.38	-12.737
7.39	-13.34
7.4	-10.4307
7.41	-4.1767
7.42	0.5023
7.43	-1.9707
7.44	-12.6742
7.45	-26.612
7.46	-36.158
7.47	-37.2191
7.48	-32.9415
7.49	-30.6089
7.5	-33.9567
7.51	-39.226
7.52	-39.624
7.53	-32.6235
7.54	-21.5879
7.55	-11.3204
7.56	-3.9866
7.57	1.1186
7.58	6.0281
7.59	12.5885
7.6	20.7007
7.61	27.6311
7.62	30.4895
7.63	29.6643
7.64	28.3244
7.65	28.2306
7.66	27.791
7.67	25.0544
7.68	20.977
7.69	18.2487
7.7	17.6954
7.71	17.2977
7.72	14.756
7.73	10.189
7.74	6.0725
7.75	4.7487
7.76	6.1035
7.77	7.8485
7.78	8.1562
7.79	7.4699
7.8	7.1943
7.81	7.2926
7.82	6.3759
7.83	4.0062
7.84	1.6341
7.85	0.94
7.86	2.139
7.87	4.1562
