T(sec)	Sa(cm/s2)
11.05	0.0967
11.06	0.4746
11.07	0.9003
11.08	1.5667
11.09	2.1692
11.1	2.2752
11.11	1.7506
11.12	0.7076
11.13	-0.7265
11.14	-2.2969
11.15	-3.3655
11.16	-3.19
11.17	-1.7503
11.18	-0.1257
11.19	0.353
11.2	-0.5025
11.21	-1.3903
11.22	-0.8108
11.23	1.3066
11.24	3.4583
11.25	4.0937
11.26	3.1287
11.27	1.8278
11.28	1.3339
11.29	1.5746
11.3	1.6493
11.31	1.0333
11.32	0.1374
11.33	-0.2814
11.34	0.0023
11.35	0.5536
11.36	0.8995
11.37	1.0378
11.38	1.2487
11.39	1.5799
11.4	1.7542
11.41	1.6208
11.42	1.4929
11.43	1.8351
11.44	2.6464
11.45	3.3572
11.46	3.4457
11.47	3.0438
11.48	2.7834
11.49	3.0727
11.5	3.6788
11.51	4.0673
11.52	4.0171
11.53	3.7729
11.54	3.6491
11.55	3.6352
11.56	3.4427
11.57	2.8611
11.58	1.9876
11.59	1.1214
11.6	0.4761
11.61	-0.0006
11.62	-0.5317
11.63	-1.216
11.64	-1.8175
11.65	-1.9188
11.66	-1.3776
11.67	-0.6124
11.68	-0.282
11.69	-0.5699
11.7	-0.8755
11.71	-0.4177
11.72	0.7815
11.73	1.6694
11.74	1.112
11.75	-0.9042
11.76	-3.1433
11.77	-4.2672
11.78	-4.0566
11.79	-3.4368
11.8	-3.3761
11.81	-3.9031
11.82	-4.2365
11.83	-3.7489
11.84	-2.6654
11.85	-1.8148
11.86	-1.781
11.87	-2.3299
11.88	-2.6147
11.89	-1.9063
11.9	-0.1777
11.91	1.9163
11.92	3.5621
11.93	4.3125
11.94	4.2044
11.95	3.5011
11.96	2.4264
11.97	1.1531
11.98	-0.0697
11.99	-0.9445
12	-1.3676
12.01	-1.5987
12.02	-2.0654
12.03	-2.9197
12.04	-3.817
12.05	-4.2202
12.06	-3.9492
12.07	-3.3747
12.08	-3.0248
12.09	-3.062
12.1	-3.2468
12.11	-3.4007
12.12	-3.7261
12.13	-4.4991
12.14	-5.4884
12.15	-5.9218
12.16	-5.2317
12.17	-3.7915
12.18	-2.6808
12.19	-2.5764
12.2	-2.9912
12.21	-2.8342
12.22	-1.7494
12.23	-0.6502
12.24	-0.6924
12.25	-1.8038
12.26	-2.5503
12.27	-1.6163
12.28	0.771
12.29	3.1259
12.3	4.3189
12.31	4.5888
12.32	4.863
12.33	5.4145
12.34	5.5912
12.35	4.8421
12.36	3.5807
12.37	2.7198
12.38	2.4975
12.39	2.1411
12.4	0.8348
12.41	-1.1904
12.42	-2.7792
12.43	-3.0494
12.44	-2.2721
12.45	-1.4802
12.46	-1.3572
12.47	-1.7003
12.48	-1.9442
12.49	-1.95
12.5	-2.0655
12.51	-2.4794
12.52	-2.806
12.53	-2.5115
12.54	-1.6721
12.55	-1.054
12.56	-1.2967
12.57	-2.1218
12.58	-2.5495
12.59	-1.9377
12.6	-0.6484
12.61	0.4305
12.62	0.9144
12.63	1.2759
12.64	2.1675
12.65	3.6013
12.66	4.9409
12.67	5.5803
12.68	5.4342
12.69	4.8052
12.7	4.0386
12.71	3.4405
12.72	3.3235
12.73	3.8138
12.74	4.5562
12.75	4.8407
12.76	4.2243
12.77	2.9948
12.78	1.8734
12.79	1.2377
12.8	0.7606
12.81	-0.1046
12.82	-1.3583
12.83	-2.297
12.84	-2.1593
12.85	-0.8993
12.86	0.6756
12.87	1.4982
12.88	1.0292
12.89	-0.3681
12.9	-1.7159
12.91	-2.1691
12.92	-1.6865
12.93	-1.0511
12.94	-1.1242
12.95	-1.9557
12.96	-2.6346
12.97	-2.0926
12.98	-0.086
12.99	2.5923
13	4.7803
13.01	5.7466
13.02	5.455
13.03	4.332
13.04	2.9533
13.05	1.8266
13.06	1.1885
13.07	0.8723
13.08	0.4781
13.09	-0.1677
13.1	-0.7014
13.11	-0.4736
13.12	0.7942
13.13	2.5823
13.14	3.842
13.15	3.7772
13.16	2.4889
13.17	0.9443
13.18	0.2681
13.19	0.8771
13.2	2.1221
13.21	2.7638
13.22	1.9565
13.23	-0.0636
13.24	-2.2013
13.25	-3.4456
13.26	-3.6498
13.27	-3.4357
13.28	-3.4085
13.29	-3.5465
13.3	-3.3683
13.31	-2.6128
13.32	-1.6634
13.33	-1.2929
13.34	-2.0181
13.35	-3.6656
13.36	-5.4788
13.37	-6.6197
13.38	-6.6796
13.39	-5.8693
13.4	-4.785
13.41	-3.9192
13.42	-3.2947
13.43	-2.5345
13.44	-1.3254
13.45	0.1559
13.46	1.2952
13.47	1.5856
13.48	1.1799
13.49	0.8835
13.5	1.4864
13.51	2.9813
13.52	4.4389
13.53	4.7854
13.54	3.8225
13.55	2.4594
13.56	1.8242
13.57	2.1052
13.58	2.361
13.59	1.5663
13.6	-0.197
13.61	-1.7123
13.62	-1.8453
13.63	-0.7473
13.64	0.1916
13.65	-0.4178
13.66	-2.7337
13.67	-5.5444
13.68	-7.2375
13.69	-6.9996
13.7	-5.3218
13.71	-3.5199
13.72	-2.709
13.73	-3.0435
13.74	-3.7793
13.75	-3.9996
13.76	-3.2837
13.77	-1.7605
13.78	0.292
13.79	2.7159
13.8	5.3468
13.81	7.7946
13.82	9.4982
13.83	10.0038
13.84	9.1729
13.85	7.2275
13.86	4.7241
13.87	2.4287
13.88	0.9554
13.89	0.3257
13.9	-0.0616
13.91	-0.8355
13.92	-1.9619
13.93	-2.7533
13.94	-2.6527
13.95	-1.9258
13.96	-1.4285
13.97	-1.6783
13.98	-2.2892
13.99	-2.4112
14	-1.6439
14.01	-0.3914
14.02	0.6504
14.03	1.1882
14.04	1.4459
14.05	1.7394
14.06	2.1347
14.07	2.5313
14.08	2.8941
14.09	3.2492
14.1	3.5029
14.11	3.4377
14.12	2.981
14.13	2.4246
14.14	2.2616
14.15	2.7497
14.16	3.6509
14.17	4.4322
14.18	4.6989
14.19	4.3803
14.2	3.5163
14.21	2.0363
14.22	-0.0543
14.23	-2.2632
14.24	-3.62
14.25	-3.3462
14.26	-1.5656
14.27	0.7533
14.28	2.5846
14.29	3.4933
14.3	3.532
14.31	2.7685
14.32	1.2144
14.33	-0.7829
14.34	-2.4022
14.35	-2.9249
14.36	-2.4837
14.37	-2.0322
14.38	-2.3832
14.39	-3.2853
14.4	-3.6068
14.41	-2.5516
14.42	-0.642
14.43	0.6715
14.44	0.4877
14.45	-0.5284
14.46	-0.7695
14.47	0.6122
14.48	2.736
14.49	3.8365
14.5	3.0172
14.51	1.0204
14.52	-0.7199
14.53	-1.5444
14.54	-1.915
14.55	-2.4741
14.56	-3.1244
14.57	-3.2082
14.58	-2.4022
14.59	-1.1598
14.6	-0.2329
14.61	0.068
14.62	0.0486
14.63	0.1783
14.64	0.6031
14.65	1.0966
14.66	1.3787
14.67	1.411
14.68	1.388
14.69	1.4751
14.7	1.605
14.71	1.6065
14.72	1.5653
14.73	1.9518
14.74	3.1971
14.75	5.0538
14.76	6.5008
14.77	6.4867
14.78	4.8487
14.79	2.4427
14.8	0.3273
14.81	-1.1195
14.82	-2.2407
14.83	-3.3836
